iter	Passed	Remaining
0	6	3002
1	11	2966
2	17	2861
3	22	2843
4	28	2811
5	34	2801
6	40	2822
7	45	2813
8	51	2804
9	57	2801
10	62	2789
11	68	2779
12	73	2767
13	79	2766
14	85	2762
15	91	2762
16	97	2759
17	103	2761
18	108	2758
19	113	2732
20	119	2720
21	124	2707
22	130	2698
23	135	2689
24	141	2686
25	147	2693
26	153	2688
27	159	2683
28	164	2679
29	170	2675
30	176	2671
31	182	2668
32	187	2654
33	193	2649
34	199	2644
35	204	2638
36	210	2635
37	216	2629
38	222	2627
39	227	2618
40	233	2611
41	238	2605
42	244	2600
43	250	2596
44	255	2587
45	261	2580
46	267	2574
47	272	2569
48	278	2566
49	284	2561
50	290	2558
51	296	2554
52	301	2546
53	307	2542
54	313	2538
55	319	2531
56	324	2525
57	330	2518
58	336	2512
59	341	2506
60	347	2501
61	352	2493
62	358	2490
63	365	2486
64	370	2481
65	376	2476
66	382	2472
67	388	2471
68	394	2466
69	400	2461
70	406	2454
71	412	2449
72	417	2443
73	423	2435
74	429	2433
75	435	2427
76	441	2422
77	446	2417
78	453	2414
79	459	2412
80	464	2405
81	471	2400
82	476	2396
83	483	2392
84	488	2387
85	495	2383
86	502	2385
87	508	2380
88	514	2374
89	519	2367
90	525	2360
91	530	2353
92	536	2347
93	542	2342
94	548	2337
95	553	2330
96	559	2325
97	565	2319
98	571	2313
99	576	2306
100	582	2299
101	587	2292
102	593	2286
103	598	2280
104	604	2273
105	610	2267
106	615	2261
107	621	2256
108	627	2250
109	633	2244
110	638	2238
111	644	2232
112	650	2226
113	656	2221
114	661	2214
115	666	2207
116	673	2203
117	678	2196
118	684	2190
119	689	2184
120	695	2178
121	701	2173
122	706	2166
123	712	2160
124	718	2154
125	724	2149
126	730	2144
127	735	2137
128	741	2131
129	747	2126
130	753	2121
131	758	2114
132	764	2108
133	769	2102
134	775	2096
135	781	2090
136	786	2083
137	792	2077
138	797	2071
139	803	2065
140	808	2059
141	814	2052
142	820	2047
143	825	2041
144	831	2035
145	837	2029
146	842	2023
147	848	2017
148	854	2012
149	860	2007
150	865	2001
151	871	1995
152	877	1989
153	882	1983
154	888	1977
155	894	1971
156	899	1965
157	905	1960
158	911	1954
159	916	1948
160	921	1941
161	927	1935
162	933	1929
163	938	1923
164	944	1918
165	950	1913
166	956	1908
167	962	1902
168	968	1896
169	974	1890
170	979	1885
171	985	1880
172	991	1873
173	997	1868
174	1002	1862
175	1008	1857
176	1014	1850
177	1019	1844
178	1025	1838
179	1031	1833
180	1036	1827
181	1042	1821
182	1048	1816
183	1054	1811
184	1060	1805
185	1066	1800
186	1072	1795
187	1078	1789
188	1083	1783
189	1089	1777
190	1094	1771
191	1100	1766
192	1106	1760
193	1112	1754
194	1118	1749
195	1124	1744
196	1130	1738
197	1136	1732
198	1141	1727
199	1147	1721
200	1153	1715
201	1159	1710
202	1164	1704
203	1170	1698
204	1176	1692
205	1182	1687
206	1187	1681
207	1193	1675
208	1199	1669
209	1204	1664
210	1210	1658
211	1216	1652
212	1222	1646
213	1227	1640
214	1234	1635
215	1239	1630
216	1245	1624
217	1251	1618
218	1257	1612
219	1262	1607
220	1268	1601
221	1274	1595
222	1279	1589
223	1285	1584
224	1291	1578
225	1297	1572
226	1302	1566
227	1308	1560
228	1313	1554
229	1319	1549
230	1325	1543
231	1331	1537
232	1337	1532
233	1342	1526
234	1348	1520
235	1354	1515
236	1360	1509
237	1366	1503
238	1371	1498
239	1377	1492
240	1383	1486
241	1388	1480
242	1394	1474
243	1400	1469
244	1406	1463
245	1411	1457
246	1417	1451
247	1423	1446
248	1428	1440
249	1434	1434
250	1440	1428
251	1445	1423
252	1452	1417
253	1457	1411
254	1463	1406
255	1469	1401
256	1475	1395
257	1481	1389
258	1487	1384
259	1493	1378
260	1499	1373
261	1506	1368
262	1512	1362
263	1518	1357
264	1524	1352
265	1530	1346
266	1536	1340
267	1542	1335
268	1547	1329
269	1553	1323
270	1559	1318
271	1565	1312
272	1571	1306
273	1577	1300
274	1583	1295
275	1588	1289
276	1594	1283
277	1600	1278
278	1606	1272
279	1611	1266
280	1617	1260
281	1623	1254
282	1629	1249
283	1634	1243
284	1640	1237
285	1645	1231
286	1651	1225
287	1656	1219
288	1662	1214
289	1668	1208
290	1674	1202
291	1680	1197
292	1686	1191
293	1692	1185
294	1697	1179
295	1703	1174
296	1710	1168
297	1716	1163
298	1721	1157
299	1727	1151
300	1733	1146
301	1739	1140
302	1745	1134
303	1751	1129
304	1756	1123
305	1762	1117
306	1768	1111
307	1774	1105
308	1779	1100
309	1785	1094
310	1791	1088
311	1796	1082
312	1802	1076
313	1808	1071
314	1814	1065
315	1819	1059
316	1825	1053
317	1831	1048
318	1836	1042
319	1842	1036
320	1848	1030
321	1853	1024
322	1859	1018
323	1865	1013
324	1870	1007
325	1876	1001
326	1881	995
327	1887	989
328	1893	983
329	1898	978
330	1904	972
331	1910	966
332	1916	960
333	1921	955
334	1927	949
335	1932	943
336	1938	937
337	1943	931
338	1949	925
339	1955	920
340	1961	914
341	1967	908
342	1973	903
343	1978	897
344	1984	891
345	1990	885
346	1996	880
347	2002	874
348	2007	868
349	2013	862
350	2019	857
351	2024	851
352	2030	845
353	2036	839
354	2042	834
355	2048	828
356	2054	822
357	2060	817
358	2066	811
359	2072	805
360	2077	800
361	2084	794
362	2090	788
363	2096	783
364	2102	777
365	2108	771
366	2113	766
367	2119	760
368	2125	754
369	2131	748
370	2138	743
371	2144	737
372	2151	732
373	2157	726
374	2163	721
375	2170	715
376	2176	710
377	2182	704
378	2189	698
379	2196	693
380	2203	688
381	2210	682
382	2217	677
383	2224	671
384	2230	666
385	2237	660
386	2243	654
387	2249	649
388	2254	643
389	2260	637
390	2267	632
391	2274	626
392	2281	621
393	2287	615
394	2294	609
395	2301	604
396	2308	598
397	2315	593
398	2322	587
399	2328	582
400	2335	576
401	2342	570
402	2348	565
403	2355	559
404	2362	554
405	2368	548
406	2375	542
407	2381	537
408	2387	531
409	2393	525
410	2399	519
411	2406	513
412	2412	508
413	2418	502
414	2424	496
415	2430	490
416	2436	485
417	2442	479
418	2449	473
419	2455	467
420	2461	461
421	2468	456
422	2474	450
423	2479	444
424	2485	438
425	2492	432
426	2498	427
427	2505	421
428	2513	415
429	2519	410
430	2526	404
431	2532	398
432	2539	392
433	2546	387
434	2552	381
435	2559	375
436	2565	369
437	2570	363
438	2576	358
439	2582	352
440	2588	346
441	2594	340
442	2599	334
443	2605	328
444	2611	322
445	2617	316
446	2624	311
447	2630	305
448	2636	299
449	2642	293
450	2647	287
451	2653	281
452	2658	275
453	2664	269
454	2670	264
455	2675	258
456	2681	252
457	2687	246
458	2693	240
459	2698	234
460	2704	228
461	2709	222
462	2715	216
463	2721	211
464	2726	205
465	2732	199
466	2738	193
467	2745	187
468	2751	181
469	2756	175
470	2762	170
471	2768	164
472	2774	158
473	2779	152
474	2785	146
475	2791	140
476	2798	134
477	2805	129
478	2811	123
479	2817	117
480	2824	111
481	2830	105
482	2836	99
483	2841	93
484	2847	88
485	2853	82
486	2859	76
487	2865	70
488	2870	64
489	2876	58
490	2882	52
491	2887	46
492	2893	41
493	2899	35
494	2905	29
495	2911	23
496	2916	17
497	2922	11
498	2928	5
499	2934	0
